name,type,description,prerequisites,prerequisite_feats,benefit,normal,special,source
Improved Ki Throw,Combat,Your enemies are living weapons in your hands.,"Improved Bull Rush, Ki Throw.","Improved Bull Rush, Ki Throw","When using the Ki Throw feat, you may throw your target into any square you threaten that is occupied by another creature. Make a bull rush combat maneuver check with a -4 penalty against the secondary target. If this check succeeds, the thrown creature lands prone in the secondary target's square, while the secondary target is pushed back and knocked prone in an adjacent square. If the check fails, the thrown creature lands prone in the nearest square you threaten adjacent to the secondary target. If you throw a Large or larger creature into an area containing multiple secondary targets, you take an additional penalty of -4 on your combat maneuver check for each target after the first.",,A monk may take this as a bonus feat at 14th level.,Advanced Player's Guide
Improved Reposition,Combat,You have learned how to force your enemies to move around the battlefield.,"Int 13, Combat Expertise.",Combat Expertise,"You do not provoke an attack of opportunity when performing a reposition combat maneuver. In addition, you receive a +2 bonus on checks made to reposition a foe. You also receive a +2 bonus to your Combat Maneuver Defense when an opponent tries to reposition you.",You provoke an attack of opportunity when performing a reposition combat maneuver.,,Advanced Player's Guide
Improved Second Chance,Combat,You can turn a missed strike into a second chance without sacrificing later attacks.,"Int 13, Combat Expertise, Second Chance, base attack bonus +11.","Combat Expertise, Second Chance","When you reroll a missed attack using the Second Chance feat, you can still make the rest of your attacks that turn, albeit at a -5 penalty to each attack.","When using the Second Chance feat, you must normally forgo the rest of your attacks that turn.",,Advanced Player's Guide
Improved Share Spells,General,You can share spells with those you have a magical connection with.,"Spellcraft 10 ranks, ability to acquire an animal companion, eidolon, familiar, or special mount.",,"Any non-instantaneous spell (but not any spell-like ability) you cast on yourself can also affect a creature bonded to you (such as an animal companion, eidolon, familiar, or special mount). The creature must be within 5 feet of you at the time of casting to receive the benefit. The spell's duration is halved between you and your bonded creature (for example, a spell with a duration of 1 hour has a duration of 30 minutes for both you and your bonded creature). If the spell or effect has a duration other than instantaneous, it stops affecting the creature if it moves farther than 5 feet away from you. It does not affect the creature again if it returns before the duration expires. You may share spells in this fashion even if the spells normally do not affect creatures of that type. This feat only applies to animal companions, eidolons, familiars, or special mounts gained through a class feature.",,,Advanced Player's Guide
Improved Sidestep,Combat,You are adept at sidestepping your opponent's melee attacks without compromising your mobility.,"Dex 15, Dodge, Mobility, Sidestep.","Dodge, Mobility, Sidestep","After sidestepping an opponent's missed attack using the Sidestep feat, you may still take a 5-foot step during your next turn, or you may move up to your full speed if you take an action to move during your next turn.","If you use the Sidestep feat, you cannot take a 5-foot step during your next turn.",,Advanced Player's Guide
Improved Steal,Combat,You have a knack for snatching items from your opponents.,"Int 13, Combat Expertise.",Combat Expertise,"You do not provoke an attack of opportunity when performing a steal combat maneuver. In addition, you receive a +2 bonus on checks made to steal an item from a foe. You also receive a +2 bonus to your Combat Maneuver Defense when an opponent tries to steal an item from you.",You provoke an attack of opportunity when performing a steal combat maneuver.,,Advanced Player's Guide
Improved Stonecunning,General,Your sense for stonework is uncanny.,"Wis 13, dwarf, stonecunning racial trait.",,You receive a +4 bonus on Perception checks to notice unusual stonework. This bonus replaces the stonecunning ability's normal bonus on Perception checks.,,,Advanced Player's Guide
Intensified Spell,Metamagic,Your spells can go beyond several normal limitations.,,,"An intensified spell increases the maximum number of damage dice by 5 levels. You must actually have sufficient caster levels to surpass the maximum in order to benefit from this feat. No other variables of the spell are affected, and spells that inf lict damage that is not modified by caster level are not affected by this feat. An intensified spell uses up a spell slot one level higher than the spell's actual level.",,,Advanced Player's Guide
In Harm's Way,Combat,You put yourself in danger's path to save your allies.,Bodyguard.,Bodyguard,"While using the aid another action to improve an adjacent ally's AC, you can intercept a successful attack against that ally as an immediate action, taking full damage from that attack and any associated effects (bleed, poison, etc.). A creature cannot benefit from this feat more than once per attack.",,,Advanced Player's Guide
Ironguts,General,You have an especially strong stomach.,"Con 13; dwarf, half-orc, or orc.",,"You gain a +2 racial bonus on saving throws against any effect causing the nauseated or sickened conditions and against all ingested poisons (but not other poisons). In addition, you receive a +2 bonus on Survival skill checks to find food for yourself (and only yourself ).",,,Advanced Player's Guide
Ironhide,General,Your skin is thicker and more resilient than that of most of your people.,"Con 13; dwarf, half-orc, or orc.",,You gain a +1 natural armor bonus due to your unusually tough hide.,,,Advanced Player's Guide
Keen Scent,General,Your nose is as sensitive as that of a wild predator.,"Wis 13, half-orc or orc.",,You gain the scent special ability.,,,Advanced Player's Guide
Ki Throw,Combat,Your physical control and mastery of momentum allows you to throw enemies.,"Improved Trip, Improved Unarmed Strike.","Improved Trip, Improved Unarmed Strike","On a successful unarmed trip attack against a target your size or smaller, you may throw the target prone in any square you threaten rather than its own square. This movement does not provoke attacks of opportunity, and you cannot throw the creature into a space occupied by other creatures.",,A monk may gain Ki Throw as a bonus feat at 10th level. A monk with this feat can affect creatures larger than his own size by spending 1 ki point per size category difference.,Advanced Player's Guide
